Year,Brand,Sales,Revenue,Region,MarketShare
2015,Apple,77,62.9,North America,9.1
2015,Apple,134,120.3,Europe,5.3
2015,Apple,299,257.4,Asia,12.3
2015,Apple,35,30.3,Latin America,8.1
2015,Apple,33,39.4,Middle East & Africa,18.8
2015,Samsung,299,327.0,North America,12.9
2015,Samsung,162,221.4,Europe,3.1
2015,Samsung,101,130.2,Asia,10.5
2015,Samsung,99,94.1,Latin America,19.8
2015,Samsung,72,62.3,Middle East & Africa,5.1
2015,Huawei,196,239.6,North America,20.8
2015,Huawei,255,299.7,Europe,24.4
2015,Huawei,213,182.1,Asia,9.4
2015,Huawei,205,246.9,Latin America,18.5
2015,Huawei,43,54.3,Middle East & Africa,20.0
2015,Xiaomi,60,83.9,North America,22.1
2015,Xiaomi,214,212.8,Europe,17.0
2015,Xiaomi,206,188.3,Asia,10.8
2015,Xiaomi,156,201.4,Latin America,18.0
2015,Xiaomi,56,68.7,Middle East & Africa,6.8
2015,Oppo,145,132.6,North America,11.3
2015,Oppo,132,168.9,Europe,21.5
2015,Oppo,48,46.1,Asia,3.7
2015,Oppo,181,195.6,Latin America,4.5
2015,Oppo,181,171.7,Middle East & Africa,14.0
2015,Vivo,254,228.6,North America,6.1
2015,Vivo,295,290.3,Europe,15.9
2015,Vivo,224,236.0,Asia,24.9
2015,Vivo,90,104.1,Latin America,5.0
2015,Vivo,44,61.7,Middle East & Africa,6.4
2015,OnePlus,101,136.8,North America,12.3
2015,OnePlus,52,55.6,Europe,16.1
2015,OnePlus,259,303.1,Asia,24.4
2015,OnePlus,25,31.9,Latin America,5.5
2015,OnePlus,294,389.7,Middle East & Africa,19.9
2015,Realme,194,170.3,North America,12.6
2015,Realme,252,202.2,Europe,18.9
2015,Realme,154,228.0,Asia,19.8
2015,Realme,279,401.4,Latin America,22.2
2015,Realme,172,238.9,Middle East & Africa,14.2
2016,Apple,121,109.7,North America,19.8
2016,Apple,296,434.4,Europe,23.3
2016,Apple,20,24.4,Asia,13.7
2016,Apple,77,111.7,Latin America,22.3
2016,Apple,177,171.3,Middle East & Africa,8.3
2016,Samsung,60,51.6,North America,13.7
2016,Samsung,55,81.7,Europe,14.7
2016,Samsung,84,74.7,Asia,13.5
2016,Samsung,104,102.5,Latin America,22.2
2016,Samsung,236,348.1,Middle East & Africa,23.4
2016,Huawei,122,158.5,North America,11.8
2016,Huawei,211,233.5,Europe,14.4
2016,Huawei,81,78.9,Asia,4.4
2016,Huawei,30,36.4,Latin America,8.1
2016,Huawei,132,106.3,Middle East & Africa,18.6
2016,Xiaomi,50,48.0,North America,22.9
2016,Xiaomi,189,160.6,Europe,8.2
2016,Xiaomi,268,254.6,Asia,5.9
2016,Xiaomi,262,254.2,Latin America,13.4
2016,Xiaomi,228,212.8,Middle East & Africa,5.1
2016,Oppo,240,251.5,North America,12.0
2016,Oppo,47,59.8,Europe,24.7
2016,Oppo,70,59.0,Asia,19.0
2016,Oppo,75,73.1,Latin America,7.2
2016,Oppo,249,223.6,Middle East & Africa,7.0
2016,Vivo,256,249.6,North America,23.3
2016,Vivo,246,335.9,Europe,21.8
2016,Vivo,70,58.5,Asia,25.0
2016,Vivo,27,39.9,Latin America,23.4
2016,Vivo,141,129.2,Middle East & Africa,13.7
2016,OnePlus,129,181.3,North America,22.9
2016,OnePlus,104,110.8,Europe,24.7
2016,OnePlus,155,224.5,Asia,20.3
2016,OnePlus,166,182.0,Latin America,24.1
2016,OnePlus,269,244.3,Middle East & Africa,9.5
2016,Realme,49,59.1,North America,14.9
2016,Realme,180,151.2,Europe,15.9
2016,Realme,277,399.9,Asia,14.7
2016,Realme,49,72.2,Latin America,4.8
2016,Realme,115,97.5,Middle East & Africa,4.5
2017,Apple,140,151.6,North America,23.7
2017,Apple,146,176.0,Europe,3.9
2017,Apple,61,66.7,Asia,15.8
2017,Apple,287,293.2,Latin America,8.7
2017,Apple,180,174.1,Middle East & Africa,11.7
2017,Samsung,173,193.8,North America,23.4
2017,Samsung,57,46.0,Europe,16.7
2017,Samsung,71,60.4,Asia,7.7
2017,Samsung,155,138.4,Latin America,10.7
2017,Samsung,55,77.9,Middle East & Africa,11.1
2017,Huawei,100,110.7,North America,15.0
2017,Huawei,174,213.7,Europe,24.7
2017,Huawei,290,233.6,Asia,21.0
2017,Huawei,173,251.2,Latin America,5.3
2017,Huawei,88,86.7,Middle East & Africa,22.6
2017,Xiaomi,99,98.1,North America,16.3
2017,Xiaomi,195,183.8,Europe,17.0
2017,Xiaomi,155,178.8,Asia,8.5
2017,Xiaomi,46,39.8,Latin America,12.3
2017,Xiaomi,161,133.8,Middle East & Africa,10.3
2017,Oppo,86,107.2,North America,8.8
2017,Oppo,246,291.8,Europe,12.4
2017,Oppo,24,21.1,Asia,23.8
2017,Oppo,96,113.5,Latin America,21.4
2017,Oppo,95,104.6,Middle East & Africa,3.9
2017,Vivo,206,294.4,North America,20.5
2017,Vivo,40,57.2,Europe,7.6
2017,Vivo,147,186.2,Asia,10.8
2017,Vivo,228,337.8,Latin America,19.5
2017,Vivo,141,198.1,Middle East & Africa,24.5
2017,OnePlus,110,155.9,North America,3.5
2017,OnePlus,190,256.1,Europe,12.1
2017,OnePlus,147,145.1,Asia,20.3
2017,OnePlus,75,80.1,Latin America,3.9
2017,OnePlus,260,248.5,Middle East & Africa,21.0
2017,Realme,255,266.4,North America,21.1
2017,Realme,136,130.0,Europe,17.5
2017,Realme,224,230.7,Asia,22.0
2017,Realme,162,169.4,Latin America,14.2
2017,Realme,294,303.4,Middle East & Africa,3.6
